Player,Year,Pk,G,PPG,APG,Start%,All-NBA,All Star,All-Defense,3P%,3PM_36,PTS_36,AST_36,REB_36,OBPM,DBPM,TS%,USG%,TOV%
Landry Shamet,2018,26.0,348.0,8.696551724137931,1.6505747126436785,0.27873563218390807,0.0,0.0,0.0,0.3836734693877551,3.105808312573751,14.287662252523928,2.6904418513176873,2.8367641274419824,-1.1220794545692934,-0.8710371050216338,0.5728159171364887,16.121620558542023,8.32314147108955
Robert Williams,2018,27.0,215.0,7.33767441860465,1.404186046511628,0.4511627906976744,0.0,0.0,1.0,0.0,0.0,12.87758346581876,2.4855780149897795,12.14172155348626,1.7210084033613444,3.0886213945037477,0.7327758346581876,12.493004769475357,14.705314558255733
Jacob Evans,2018,28.0,59.0,2.8237288135593226,0.9474576271186441,0.03389830508474576,0.0,0.0,0.0,0.3148148148148148,0.9839228295819936,9.72347266881029,3.12540192926045,3.819935691318328,-6.160771704180064,-1.2672025723472669,0.41566559485530546,16.188102893890676,15.41993569131833
Džanan Musa,2018,29.0,49.0,4.3040816326530615,0.9346938775510204,0.0,0.0,0.0,0.0,0.22727272727272727,1.3688212927756653,14.44106463878327,3.079847908745247,6.228136882129277,-3.7076045627376426,-0.9,0.47888403041825095,20.759885931558937,15.362927756653994
Omari Spellman,2018,30.0,95.0,6.776842105263158,1.0,0.14736842105263157,0.0,0.0,0.0,0.36554621848739494,1.8521584861028977,13.667652276759314,2.001182732111177,8.79243051448847,-0.6571850975753993,-0.8571850975753992,0.5343382613837966,16.94340626848019,12.281431105854525
Elie Okobo,2018,31.0,108.0,4.83425925925926,2.2472222222222222,0.17592592592592593,0.0,0.0,0.0,0.31527093596059114,1.3738819320214668,11.227191413237925,5.194991055456172,4.035778175313059,-3.213893858079905,-0.8568872987477638,0.5005760286225402,16.056768038163387,16.913774597495525
Jevon Carter,2018,32.0,376.0,5.284574468085107,1.6234042553191488,0.1276595744680851,0.0,0.0,0.0,0.38333333333333336,2.6404833836858006,12.036253776435045,3.691842900302115,3.915407854984894,-1.9629405840886205,0.5100201409869083,0.5295921450151058,15.351678415575696,10.777223900637798
Jalen Brunson,2018,33.0,422.0,16.902132701421802,4.683412322274882,0.6445497630331753,0.0,1.0,0.0,0.3910056214865709,1.8875952759862635,21.502303375492083,5.952257307982243,4.106876622832733,2.567342323477678,-0.428478096993048,0.5857205796130329,24.633193734818658,10.380048580283106
Devonte' Graham,2018,34.0,336.0,11.120238095238097,4.326488095238095,0.5089285714285714,0.0,0.0,0.0,0.35394554683894786,3.3032659409020217,16.07704270845795,6.236152649838497,3.2645053236033017,0.7636439765522192,-1.254994616580931,0.5285486302189257,20.628974757746143,11.592726402679745
Melvin Frazier,2018,35.0,32.0,2.71875,0.17812500000000003,0.0,0.0,0.0,0.0,0.20930232558139536,1.1172413793103448,10.8,0.6206896551724138,3.475862068965517,-7.248965517241379,-2.736551724137931,0.4224620689655173,17.717241379310344,8.257241379310345
Mitchell Robinson,2018,36.0,320.0,7.978125,0.623125,0.6125,0.0,0.0,0.0,0.0,0.0,11.716547497446374,0.914708886618999,11.665985699693564,0.6828268641470889,1.4392875383043922,0.6781049540347293,11.525906537282944,10.822344228804903
